Name,Latitude,Longitude,Type,subtype1,subtype2,City,Address,Link,,
Cherokee Indian Hospital,35.48448989999999,-83.3232508,hospital,y,y,Cherokee NC,1 Hospital Road  Cherokee,https://www.google.com/maps/place/?q=place_id:ChIJaTInl-VDWYgRRrbi97dltkg,,
Emergency Room,42.7072592,-73.1095454,hospital,y,y,North Adams MA,71 Hospital Avenue  North Adams,https://www.google.com/maps/place/?q=place_id:ChIJnx6BLxe54IkRU1stcdlYjxw,,
Fairview Hospital,42.1910815,-73.3719755,hospital,y,y,Great Barrington MA,29 Lewis Avenue  Great Barrington,https://www.google.com/maps/place/?q=place_id:ChIJpbb2ulRh54kRBoGs0DvvyMI,,
Millinocket Regional Hospital,45.6529083,-68.7163761,hospital,y,y,Millinocket ME,200 Somerset Street  Millinocket,https://www.google.com/maps/place/?q=place_id:ChIJHSforG-zukwR0znWh8SdVtY,,
NewYork-Presbyterian Hudson Valley Hospital,41.2927229,-73.8927941,hospital,y,y,Peekskill NY,1980 Crompond Road  Cortlandt,https://www.google.com/maps/place/?q=place_id:ChIJT534Jf7IwokR2Bxgp8CPqKg,,
Page Memorial Hospital,38.66329519999999,-78.4686419,hospital,y,y,Luray VA,200 Memorial Drive  Luray,https://www.google.com/maps/place/?q=place_id:ChIJMYNYLgdOtIkRtJXto-t22i4,,
Rutland Regional Medical Center,43.5985264,-72.9553776,hospital,y,y,Rutland VT,160 Allen Street  Rutland,https://www.google.com/maps/place/?q=place_id:ChIJiTi0ofkk4IkRaf3TCvL9olU,,
Southwestern Vermont Medical Center,42.87433679999999,-73.2074264,hospital,y,y,Bennington VT,100 Hospital Drive  Bennington,https://www.google.com/maps/place/?q=place_id:ChIJwXK2PUKW4IkRG1CseYmXVyk,,
Valley Health Systems,38.66286009999999,-78.4698417,hospital,y,y,Luray VA,125 Memorial Drive  Luray,https://www.google.com/maps/place/?q=place_id:ChIJX6oaKwdOtIkRF_HVUlUXofE,,
Warren Memorial Hospital Op Center,38.9201962,-78.1905527,hospital,y,y,Front Royal VA,120 North Commerce Avenue  Front Royal,https://www.google.com/maps/place/?q=place_id:ChIJofe6KM7FtYkRPQzYet7nEB4,,
Bennington Post Office,42.8765826,-73.1983373,post office,y,y,Bennington VT,108 Elm Street  Bennington,https://www.google.com/maps/place/?q=place_id:ChIJm6zoCmWW4IkRQLm2pYYScd4,,
Caratunk Post Office,45.23391789999999,-69.9918231,post office,y,y,Caratunk ME,172 Main Street  Caratunk,https://www.google.com/maps/place/?q=place_id:ChIJQ6tZBLr3sEwROVrK7CHVvS4,,
Manchester Center Post Office,43.1675019,-73.0475206,post office,y,y,Manchester Center VT,3452 Richville Road  Manchester Center,https://www.google.com/maps/place/?q=place_id:ChIJ7Uc1OUVe4IkRI6g3zVH9WJo,,
