latitude,longitude,distance_from_last_marker,mile_marker_number
35.60115556,-83.45559365,1,207
35.60976261,-83.44683129,1,208
35.61172399,-83.43384883,1,209
35.61160811,-83.42022943,1,210
35.61850377,-83.40965115,1,211
35.62334036,-83.39512157,1,212
35.63259864,-83.38616774,1,213
35.63841785,-83.37246525,1,214
35.64535819,-83.36100962,1,215
35.65602239,-83.35800005,1,216
35.66137166,-83.34635892,1,217
35.66491651,-83.33597362,1,218
35.66165618,-83.32037722,1,219
35.65293187,-83.30990287,1,220
35.65791822,-83.29728252,1,221
35.66909114,-83.29109459,1,222
35.67506595,-83.28312972,1,223
35.68208917,-83.26963412,1,224
35.68967273,-83.26193695,1,225
35.70033635,-83.25551002,1,226
35.70741309,-83.25940223,1,227
35.71668131,-83.25588883,1,228
35.724368,-83.24221578,1,229
35.72573567,-83.22725697,1,230
35.72353295,-83.214371,1,231
35.72566239,-83.19945995,1,232
35.72768344,-83.18521998,1,233
35.73731438,-83.18125381,1,234
35.74541183,-83.17449022,1,235
35.75548835,-83.16525844,1,236
35.76425452,-83.15884332,1,237
35.76290599,-83.14706415,1,238
35.76367683,-83.13523883,1,239
35.7712309,-83.12707415,1,240
35.76961045,-83.11586647,1,241
35.77810973,-83.11107728,1,242
35.78412787,-83.11131668,1,243
35.78147988,-83.10159531,1,244
35.7785763,-83.09335715,1,245
35.78356963,-83.08242186,1,246
35.78899276,-83.07508668,1,247
35.78723905,-83.06128955,1,248
35.78609259,-83.04623276,1,249
35.78709758,-83.03579281,1,250
35.78420609,-83.02712067,1,251
35.78130808,-83.01706711,1,252
35.77615552,-83.00520274,1,253
35.77321402,-82.99542116,1,254
35.77829247,-82.98256904,1,255
35.78791488,-82.97191436,1,256
35.7922513,-82.95959515,1,257
35.80011042,-82.95213745,1,258
35.80157607,-82.94707102,1,259
35.80770652,-82.94792517,1,260
35.81368007,-82.94361639,1,261
35.81986279,-82.93766729,1,262
35.8265604,-82.93602214,1,263
35.83705538,-82.938623,1,264
35.83862232,-82.92586663,1,265
35.83941574,-82.91614733,1,266
35.84471673,-82.90381818,1,267
35.8488514,-82.90107446,1,268
35.85380533,-82.89477817,1,269
35.85096149,-82.88378436,1,270
35.85476386,-82.87357754,1,271
35.86208535,-82.86967887,1,272
35.86855823,-82.87631702,1,273
35.87311643,-82.86403139,1,274
35.88260877,-82.85726097,1,275
35.88825927,-82.84522149,1,276
35.8884048,-82.83420912,1,277
35.89356996,-82.82532827,1,278
35.88954686,-82.81950817,1,279
35.88424871,-82.81015482,1,280
35.88751982,-82.79771895,1,281
35.89566878,-82.78850363,1,282
35.90503495,-82.79055217,1,283
35.91307684,-82.79152513,1,284
35.91729379,-82.79774794,1,285
35.92634712,-82.80301081,1,286
35.93446711,-82.80590833,1,287
35.94513239,-82.79875994,1,288
35.9522588,-82.78839032,1,289
35.96416162,-82.78422004,1,290
35.97303696,-82.77694472,1,291
35.98054339,-82.78678468,1,292
35.98848561,-82.78671205,1,293
35.99630513,-82.77783389,1,294
36.00159222,-82.76586118,1,295
36.00449844,-82.75394008,1,296
36.01160575,-82.74316298,1,297
36.01772018,-82.72996455,1,298
36.02214468,-82.71552818,1,299
36.02867291,-82.70831494,1,300
36.03428986,-82.69930351,1,301
36.04060601,-82.68652585,1,302
36.04893564,-82.67624316,1,303
36.05521131,-82.66241252,1,304
36.0587228,-82.64874374,1,305
