latitude,longitude,elevation,distance_along_trail_miles
34.653669,-84.037461,3025.262564,16.50861
34.653746,-84.037158,3021.65364,16.527163
34.6542,-84.03655,2990.157576,16.575476
34.654323,-84.036155,2975.065712,16.600336
34.653949,-84.03579,2964.23894,16.634405
34.65405,-84.03478,2921.259936,16.694487
34.653932,-84.034319,2900.590644,16.722996
34.65358,-84.034226,2889.763872,16.748581
34.653182,-84.0338,2874.343924,16.786305
34.652596,-84.033626,2860.564396,16.829091
34.652426,-84.033493,2853.018464,16.843493
34.652127,-84.032873,2832.677256,16.885662
34.651887,-84.032676,2824.147072,16.906253
34.652039,-84.031847,2806.430536,16.956034
34.652608,-84.031467,2808.070956,17.00203
34.653012,-84.03136,2820.210064,17.031393
34.653773,-84.030918,2850.065708,17.091414
34.653968,-84.030876,2855.315052,17.105469
34.654513,-84.030377,2885.49878,17.15419
34.654711,-84.029894,2904.527652,17.185938
34.654815,-84.029864,2906.82424,17.193518
34.655093,-84.029426,2926.50928,17.226043
34.655391,-84.029164,2936.3518,17.252181
34.655527,-84.029182,2935.039464,17.261867
34.656871,-84.028398,2951.443664,17.367506
34.657842,-84.028249,2995.735004,17.437309
34.659585,-84.028377,3033.792748,17.561113
34.659906,-84.028492,3038.714008,17.584824
34.660212,-84.028499,3036.745504,17.606488
34.660457,-84.028445,3037.073588,17.624112
34.661291,-84.028001,3022.309808,17.688658
34.661612,-84.02771,3015.748128,17.717071
34.661794,-84.027379,3008.53028,17.740363
34.662351,-84.026854,2979.658888,17.790642
34.662457,-84.026558,2960.9581,17.809854
34.66298,-84.025713,2951.771748,17.871618
34.663134,-84.025623,2956.364924,17.883754
34.663623,-84.025592,2957.349176,17.918409
34.663951,-84.02571,2960.9581,17.942637
34.664025,-84.025815,2965.551276,17.950756
34.66447,-84.025746,2972.44104,17.982535
34.664648,-84.025798,2974.737628,17.995502
34.664961,-84.026054,2992.454164,18.022458
34.665171,-84.026097,2999.672012,18.037597
34.665822,-84.025967,2997.375424,18.084295
34.666581,-84.026117,3014.763876,18.138827
