Name,Latitude,Longitude,DistanceFromTrail(feet),Bearing(degrees),DistanceAlongTrail(miles),Source CSV,Row Number,ResupplyCityLat,ResupplyCityLong,MilestoTown,RouteID
Chapman Road,41.37906860456296,-73.89578551,residential,2007688,,crossing.csv,,,,,
Charles Town Pike,39.261093035538735,-77.76226208,trunk,2007649,VA 9,crossing.csv,,,,,
Charlies Creek Road,34.95865619538454,-83.59634401,track,2007643,,crossing.csv,,,,,
Chase Hill Drive/Snowmobile ITS 82,44.590362,-70.9476152,track,2007932,,crossing.csv,,,,,
Chateauguay Road,43.689445,-72.673861,residential,392991,,crossing.csv,,,,,
Cherry Street,40.39509211933233,-77.02841525,residential,394916,,crossing.csv,,,,,
Chestnut Street,40.394576400010706,-77.02894161,residential,394916,,crossing.csv,,,,,
Church Street,42.562032521439875,-73.15706455,tertiary,2991960,,crossing.csv,,,,,
Civilian Conservation Corps Road,38.88069252227113,-78.10530978,service,2007649,,crossing.csv,,,,,
Clark Street,40.39704244485692,-77.0260289,tertiary,394916,,crossing.csv,,,,,
Clarks Valley Road,40.451842,-76.776174,secondary,394916,PA 325,crossing.csv,,,,,
Clement Shelter Road,43.557077000000035,-72.854566,residential,392991,,crossing.csv,,,,,
Clendennin Road,37.36468226311008,-80.74979613,residential,2007649,SR 641,crossing.csv,,,,,
Cloudland Road,43.68720100000001,-72.500511,unclassified,392991,,crossing.csv,,,,,
Cobble Road,41.99013399999996,-73.4192985,residential,3352289,,crossing.csv,,,,,
Cold River Road,43.53705000000007,-72.8714079,tertiary,392991,,crossing.csv,,,,,
Cold Spring Turnpike,41.4532261,-73.8365428,secondary,2007688,NY 301,crossing.csv,,,,,
Coleman Gap,35.0052418,-83.5101796,,2007645,,crossing.csv,,,,,
Comers Creek Road,36.72050350159458,-81.46181541,unclassified,2007649,SR 650,crossing.csv,,,,,
Connector path,39.144559950507194,-77.83146771,track,2007649,,crossing.csv,,,,,
Cornwall Bridge Road,41.8230568,-73.3866411,secondary,3352289,CT 4,crossing.csv,,,,,
Corridor 7,43.21699919549675,-72.96312542,track,392991,,crossing.csv,,,,,
Corridor 95,42.53956288598348,-73.14600251,track,2991960,,crossing.csv,,,,,
